rel_path,fs,lead_index,lead_name,r_time_s,target_len,outdir,mode
100726.dat,400.0,0,I,0.3375,300,C:/Physionet/PhysioNetChallange/one_beat_out/100726,wfdb
101191.dat,400.0,0,I,0.8525,300,C:/Physionet/PhysioNetChallange/one_beat_out/101191,wfdb
101193.dat,400.0,0,I,0.5675,300,C:/Physionet/PhysioNetChallange/one_beat_out/101193,wfdb
101282.dat,400.0,0,I,1.2375,300,C:/Physionet/PhysioNetChallange/one_beat_out/101282,wfdb
101842.dat,400.0,0,I,0.8275,300,C:/Physionet/PhysioNetChallange/one_beat_out/101842,wfdb
102640.dat,400.0,0,I,0.92,300,C:/Physionet/PhysioNetChallange/one_beat_out/102640,wfdb
103042.dat,400.0,0,I,0.81,300,C:/Physionet/PhysioNetChallange/one_beat_out/103042,wfdb
103725.dat,400.0,0,I,0.8175,300,C:/Physionet/PhysioNetChallange/one_beat_out/103725,wfdb
104023.dat,400.0,0,I,1.075,300,C:/Physionet/PhysioNetChallange/one_beat_out/104023,wfdb
105406.dat,400.0,0,I,1.075,300,C:/Physionet/PhysioNetChallange/one_beat_out/105406,wfdb
105443.dat,400.0,0,I,0.42,300,C:/Physionet/PhysioNetChallange/one_beat_out/105443,wfdb
106689.dat,400.0,0,I,0.8625,300,C:/Physionet/PhysioNetChallange/one_beat_out/106689,wfdb
107019.dat,400.0,0,I,1.1025,300,C:/Physionet/PhysioNetChallange/one_beat_out/107019,wfdb
107956.dat,400.0,0,I,0.645,300,C:/Physionet/PhysioNetChallange/one_beat_out/107956,wfdb
108413.dat,400.0,0,I,0.3925,300,C:/Physionet/PhysioNetChallange/one_beat_out/108413,wfdb
108586.dat,400.0,0,I,1.205,300,C:/Physionet/PhysioNetChallange/one_beat_out/108586,wfdb
109838.dat,400.0,0,I,0.3725,300,C:/Physionet/PhysioNetChallange/one_beat_out/109838,wfdb
110404.dat,400.0,0,I,0.78,300,C:/Physionet/PhysioNetChallange/one_beat_out/110404,wfdb
111190.dat,400.0,0,I,0.44,300,C:/Physionet/PhysioNetChallange/one_beat_out/111190,wfdb
111288.dat,400.0,0,I,0.635,300,C:/Physionet/PhysioNetChallange/one_beat_out/111288,wfdb
112145.dat,400.0,0,I,1.0325,300,C:/Physionet/PhysioNetChallange/one_beat_out/112145,wfdb
112408.dat,400.0,0,I,0.97,300,C:/Physionet/PhysioNetChallange/one_beat_out/112408,wfdb
114869.dat,400.0,0,I,0.4125,300,C:/Physionet/PhysioNetChallange/one_beat_out/114869,wfdb
115645.dat,400.0,0,I,0.895,300,C:/Physionet/PhysioNetChallange/one_beat_out/115645,wfdb
115881.dat,400.0,0,I,0.62,300,C:/Physionet/PhysioNetChallange/one_beat_out/115881,wfdb
116961.dat,400.0,0,I,1.16,300,C:/Physionet/PhysioNetChallange/one_beat_out/116961,wfdb
117538.dat,400.0,0,I,0.97,300,C:/Physionet/PhysioNetChallange/one_beat_out/117538,wfdb
117983.dat,400.0,0,I,1.03,300,C:/Physionet/PhysioNetChallange/one_beat_out/117983,wfdb
117986.dat,400.0,0,I,1.11,300,C:/Physionet/PhysioNetChallange/one_beat_out/117986,wfdb
118884.dat,400.0,0,I,0.945,300,C:/Physionet/PhysioNetChallange/one_beat_out/118884,wfdb
119415.dat,400.0,0,I,0.8825,300,C:/Physionet/PhysioNetChallange/one_beat_out/119415,wfdb
119662.dat,400.0,0,I,0.9625,300,C:/Physionet/PhysioNetChallange/one_beat_out/119662,wfdb
121152.dat,400.0,0,I,1.18,300,C:/Physionet/PhysioNetChallange/one_beat_out/121152,wfdb
121673.dat,400.0,0,I,1.175,300,C:/Physionet/PhysioNetChallange/one_beat_out/121673,wfdb
123548.dat,400.0,0,I,1.065,300,C:/Physionet/PhysioNetChallange/one_beat_out/123548,wfdb
127067.dat,400.0,0,I,0.645,300,C:/Physionet/PhysioNetChallange/one_beat_out/127067,wfdb
129191.dat,400.0,0,I,0.3975,300,C:/Physionet/PhysioNetChallange/one_beat_out/129191,wfdb
129802.dat,400.0,0,I,0.8525,300,C:/Physionet/PhysioNetChallange/one_beat_out/129802,wfdb
129851.dat,400.0,0,I,1.4,300,C:/Physionet/PhysioNetChallange/one_beat_out/129851,wfdb
130102.dat,400.0,0,I,1.3375,300,C:/Physionet/PhysioNetChallange/one_beat_out/130102,wfdb
130412.dat,400.0,0,I,0.59,300,C:/Physionet/PhysioNetChallange/one_beat_out/130412,wfdb
130498.dat,400.0,0,I,0.8425,300,C:/Physionet/PhysioNetChallange/one_beat_out/130498,wfdb
130539.dat,400.0,0,I,0.925,300,C:/Physionet/PhysioNetChallange/one_beat_out/130539,wfdb
132616.dat,400.0,0,I,0.8525,300,C:/Physionet/PhysioNetChallange/one_beat_out/132616,wfdb
133225.dat,400.0,0,I,0.9825,300,C:/Physionet/PhysioNetChallange/one_beat_out/133225,wfdb
133273.dat,400.0,0,I,0.69,300,C:/Physionet/PhysioNetChallange/one_beat_out/133273,wfdb
133304.dat,400.0,0,I,0.4175,300,C:/Physionet/PhysioNetChallange/one_beat_out/133304,wfdb
133864.dat,400.0,0,I,0.76,300,C:/Physionet/PhysioNetChallange/one_beat_out/133864,wfdb
134434.dat,400.0,0,I,0.81,300,C:/Physionet/PhysioNetChallange/one_beat_out/134434,wfdb
134634.dat,400.0,0,I,0.7925,300,C:/Physionet/PhysioNetChallange/one_beat_out/134634,wfdb
134642.dat,400.0,0,I,2.315,300,C:/Physionet/PhysioNetChallange/one_beat_out/134642,wfdb
134793.dat,400.0,0,I,0.6525,300,C:/Physionet/PhysioNetChallange/one_beat_out/134793,wfdb
135830.dat,400.0,0,I,0.4325,300,C:/Physionet/PhysioNetChallange/one_beat_out/135830,wfdb
135833.dat,400.0,0,I,0.565,300,C:/Physionet/PhysioNetChallange/one_beat_out/135833,wfdb
135940.dat,400.0,0,I,0.54,300,C:/Physionet/PhysioNetChallange/one_beat_out/135940,wfdb
136153.dat,400.0,0,I,0.5625,300,C:/Physionet/PhysioNetChallange/one_beat_out/136153,wfdb
136557.dat,400.0,0,I,0.3625,300,C:/Physionet/PhysioNetChallange/one_beat_out/136557,wfdb
136967.dat,400.0,0,I,0.37,300,C:/Physionet/PhysioNetChallange/one_beat_out/136967,wfdb
137001.dat,400.0,0,I,1.13,300,C:/Physionet/PhysioNetChallange/one_beat_out/137001,wfdb
137330.dat,400.0,0,I,0.83,300,C:/Physionet/PhysioNetChallange/one_beat_out/137330,wfdb
138304.dat,400.0,0,I,1.375,300,C:/Physionet/PhysioNetChallange/one_beat_out/138304,wfdb
138534.dat,400.0,0,I,0.7,300,C:/Physionet/PhysioNetChallange/one_beat_out/138534,wfdb
138704.dat,400.0,0,I,1.2575,300,C:/Physionet/PhysioNetChallange/one_beat_out/138704,wfdb
138928.dat,400.0,0,I,0.3925,300,C:/Physionet/PhysioNetChallange/one_beat_out/138928,wfdb
140537.dat,400.0,0,I,0.495,300,C:/Physionet/PhysioNetChallange/one_beat_out/140537,wfdb
141452.dat,400.0,0,I,0.53,300,C:/Physionet/PhysioNetChallange/one_beat_out/141452,wfdb
141475.dat,400.0,0,I,0.7475,300,C:/Physionet/PhysioNetChallange/one_beat_out/141475,wfdb
141478.dat,400.0,0,I,0.56,300,C:/Physionet/PhysioNetChallange/one_beat_out/141478,wfdb
